timestamp=0.094307,22=1
timestamp=0.094527,23=1
timestamp=0.098801,B0=1
timestamp=0.098953,320=1
timestamp=0.099161,B2=1
timestamp=0.103749,2D0=1
timestamp=0.104763,20=1
timestamp=0.105009,223=1
timestamp=0.105248,25=1
timestamp=0.105496,B4=1
timestamp=0.106364,22=1
timestamp=0.106586,23=1
timestamp=0.110836,B0=1
timestamp=0.111088,224=1
timestamp=0.111296,B2=1
timestamp=0.111940,2C1=1
timestamp=0.112950,2C4=1
timestamp=0.116814,20=1
timestamp=0.117082,B4=1
timestamp=0.117321,25=1
timestamp=0.118404,22=1
timestamp=0.118629,23=1
timestamp=0.119099,2C6=1
timestamp=0.122943,B0=1
timestamp=0.123169,B2=1
timestamp=0.128306,340=1
timestamp=0.128889,20=1
timestamp=0.129135,223=1
timestamp=0.129373,25=1
timestamp=0.129621,B4=1
timestamp=0.130477,22=1
timestamp=0.130697,23=1
timestamp=0.134967,B0=1
timestamp=0.135219,224=1
timestamp=0.135428,B2=1
timestamp=0.135672,2D0=1
timestamp=0.136512,2C4=1
timestamp=0.140938,20=1
timestamp=0.141206,B4=1
timestamp=0.141444,25=1
timestamp=0.142530,22=1
timestamp=0.142752,23=1
timestamp=0.143668,2C1=1
timestamp=0.147096,B0=1
timestamp=0.147249,320=1
timestamp=0.147457,B2=1
timestamp=0.150849,2C6=1
timestamp=0.151777,526=1
timestamp=0.153065,20=1
timestamp=0.153311,223=1
timestamp=0.153559,B4=1
timestamp=0.153961,25=1
timestamp=0.154655,22=1
timestamp=0.154880,23=1
timestamp=0.156468,56F=1
timestamp=0.159160,B0=1
timestamp=0.159412,224=1
timestamp=0.159621,B2=1
timestamp=0.160051,2C4=1
timestamp=0.164232,5D7=1
timestamp=0.165138,20=1
timestamp=0.165406,B4=1
timestamp=0.165958,25=1
timestamp=0.166738,22=1
timestamp=0.166957,23=1
timestamp=0.167237,2D0=1
timestamp=0.171231,B0=1
timestamp=0.171457,B2=1
timestamp=0.175419,2C1=1
timestamp=0.176415,340=1
timestamp=0.177213,20=1
timestamp=0.177459,223=1
timestamp=0.177707,B4=1
timestamp=0.177972,25=1
timestamp=0.178805,22=1
timestamp=0.179030,23=1
timestamp=0.182579,2C6=1
timestamp=0.183279,B0=1
timestamp=0.183532,224=1
timestamp=0.183740,B2=1
timestamp=0.183976,2C4=1
timestamp=0.189254,20=1
timestamp=0.189522,B4=1
timestamp=0.189972,25=1
timestamp=0.190846,22=1
timestamp=0.191066,23=1
timestamp=0.195346,B0=1
timestamp=0.195498,320=1
timestamp=0.195707,B2=1
timestamp=0.195893,5D5=1
timestamp=0.198957,2D0=1
timestamp=0.201327,20=1
timestamp=0.201573,223=1
timestamp=0.201821,B4=1
timestamp=0.202059,25=1
timestamp=0.202923,22=1
timestamp=0.203147,23=1
timestamp=0.207149,2C1=1
timestamp=0.207387,2C4=1
timestamp=0.207597,B0=1
timestamp=0.207850,224=1
timestamp=0.208058,B2=1
timestamp=0.213410,20=1
timestamp=0.213678,B4=1
timestamp=0.213982,25=1
timestamp=0.214332,2C6=1
timestamp=0.214996,22=1
timestamp=0.215221,23=1
timestamp=0.219513,B0=1
timestamp=0.219739,B2=1
timestamp=0.224546,340=1
timestamp=0.225458,20=1
timestamp=0.225705,223=1
timestamp=0.225953,B4=1
timestamp=0.226191,25=1
timestamp=0.227051,22=1
timestamp=0.227271,23=1
timestamp=0.230709,2D0=1
timestamp=0.230945,2C4=1
timestamp=0.231549,B0=1
timestamp=0.231802,224=1
timestamp=0.232010,B2=1
timestamp=0.237516,20=1
timestamp=0.237784,B4=1
timestamp=0.238022,25=1
timestamp=0.238894,2C1=1
timestamp=0.239140,22=1
timestamp=0.239363,23=1
timestamp=0.243612,B0=1
timestamp=0.243765,320=1
timestamp=0.243973,B2=1
timestamp=0.246059,2C6=1
timestamp=0.249571,20=1
timestamp=0.249817,223=1
timestamp=0.250055,25=1
timestamp=0.250303,B4=1
timestamp=0.251177,22=1
timestamp=0.251397,23=1
timestamp=0.254243,2C4=1
timestamp=0.255677,B0=1
timestamp=0.255929,224=1
timestamp=0.256138,B2=1
timestamp=0.256324,591=1
timestamp=0.261662,20=1
timestamp=0.261930,B4=1
